"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Gm42418",1.37744358539233e-14,2.64841505229675,1,1,3.46137798573238e-10,"Gm42418","LNG"
"Rpl39",1.10877952725672e-06,-0.569323758190811,1,1,0.0278625207404341,"Rpl39","LNG"
"Tmsb10",2.18885923159073e-06,-0.580426465720516,1,1,0.0550038436306435,"Tmsb10","LNG"
"Hist1h2ap",2.87608995350978e-06,2.93301935776222,1,0.667,0.0722732644417473,"Hist1h2ap","LNG"
"B2m",6.38551895124695e-06,-0.819334065734669,1,1,0.160461705725885,"B2m","LNG"
"Hdlbp",8.08966519764345e-06,1.87806390680707,1,1,0.203285196751582,"Hdlbp","LNG"
"Rps15a",1.4346300475421e-05,-0.414920161829234,1,1,0.360508184646853,"Rps15a","LNG"
"Rpl38",1.780608882823e-05,-0.512085747142545,1,1,0.44744920616459,"Rpl38","LNG"
"Tsc22d1",3.35370670019147e-05,2.07134657689377,1,1,0.842752956691115,"Tsc22d1","LNG"
"Stom",3.44931182310877e-05,2.35438220973163,1,0.667,0.866777568029002,"Stom","LNG"
"Sult1d1",3.4811245109566e-05,2.16172424518179,1,1,0.874771778358283,"Sult1d1","LNG"
"Rps27",4.13367280272246e-05,-0.489350914452561,1,1,1,"Rps27","LNG"
"Ube2s",5.18466480017762e-05,1.37870917278096,1,1,1,"Ube2s","LNG"
"Prxl2b",7.57270765969041e-05,2.26652901237671,1,0.667,1,"Prxl2b","LNG"
"Olfm1",7.81388062919923e-05,2.07541031251897,1,1,1,"Olfm1","LNG"
"Gfy",8.54758589656344e-05,1.87396204323503,1,1,1,"Gfy","LNG"
"Ncam1",9.84350204357627e-05,2.24115188014697,1,0.667,1,"Ncam1","LNG"
"Rtn1",0.000103089997026504,2.22589928068971,1,0.667,1,"Rtn1","LNG"
"Hmgb2",0.000106304113921709,1.175980893818,1,1,1,"Hmgb2","LNG"
"Ebf1",0.000113575165382985,1.79489288081897,1,1,1,"Ebf1","LNG"
"Rps21",0.000140447730240551,-0.339260109794174,1,1,1,"Rps21","LNG"
"Nsg1",0.000144052861367933,1.79718963915863,1,1,1,"Nsg1","LNG"
"Lars2",0.00014860108906012,2.14851858377375,1,0.333,1,"Lars2","LNG"
"Prrc2b",0.000179312159905614,2.16586802630397,1,0.667,1,"Prrc2b","LNG"
"Atf3",0.000182344247538541,2.27893775621237,1,0.333,1,"Atf3","LNG"
"Pcp4l1",0.000198144434326126,2.09604967585251,1,0.333,1,"Pcp4l1","LNG"
"Rpl22",0.000226383285506827,-0.472074409664922,1,1,1,"Rpl22","LNG"
"Epcam",0.000231134485383406,1.71087933669228,1,1,1,"Epcam","LNG"
"Serpine2",0.000237682369935408,2.12585769080449,1,0.667,1,"Serpine2","LNG"
"Ttll7",0.000237682369935408,2.12585769080449,1,0.667,1,"Ttll7","LNG"
"Map1lc3a",0.000242101887690091,2.09295284707175,1,0.667,1,"Map1lc3a","LNG"
"Cystm1",0.00024840804741572,2.02766027581461,1,0.667,1,"Cystm1","LNG"
"Msi2",0.000251632619630014,1.43090883167771,1,1,1,"Msi2","LNG"
"Chga",0.000283461468635415,1.74350668037891,1,1,1,"Chga","LNG"
"Ctsc",0.000482549534549483,-1.77506312136356,0,1,1,"Ctsc","LNG"
"Rps28",0.000529833464039688,-0.360057164241485,1,1,1,"Rps28","LNG"
"Rpl37a",0.000562621289016803,-0.318194146968695,1,1,1,"Rpl37a","LNG"
"Uba52",0.000659058569012128,0.819706639285005,1,1,1,"Uba52","LNG"
"Cxcr6",0.000764797709524829,-0.997906383704211,1,1,1,"Cxcr6","LNG"
"Ssbp2",0.000934280318414336,-1.65553429917568,0,1,1,"Ssbp2","LNG"
"Chchd10",0.00102996565570717,1.4283437562791,1,1,1,"Chchd10","LNG"
"Hist1h2bc",0.00118630816774458,1.57557636112401,1,0,1,"Hist1h2bc","LNG"
"Fstl5",0.00122342607297793,1.58286086492839,1,1,1,"Fstl5","LNG"
"Aplp1",0.00126470664415041,1.75388072905625,1,0.333,1,"Aplp1","LNG"
"Ms4a4b",0.00138864775891234,-0.864418500147159,1,1,1,"Ms4a4b","LNG"
"Trbc1",0.00172380050597831,-0.988284482653752,1,1,1,"Trbc1","LNG"
"Csf2",0.00190569056254579,-1.82480705334681,0.333,1,1,"Csf2","LNG"
"Cd81",0.0020000436204513,1.33246390285002,1,1,1,"Cd81","LNG"
"Myo6",0.00208409321611625,1.3516739086187,1,1,1,"Myo6","LNG"
"Rpl30",0.00209947239514897,-0.278864699925046,1,1,1,"Rpl30","LNG"
"Dock11",0.00212726674350494,-1.56635355754598,0,1,1,"Dock11","LNG"
"Hmgn3",0.0021523227376604,1.86832121450124,1,0.667,1,"Hmgn3","LNG"
"Tmem41b",0.00218231340572663,-1.57865646885896,0,1,1,"Tmem41b","LNG"
"Atp6v1h",0.00240684678527185,-1.49620146754262,0,1,1,"Atp6v1h","LNG"
"Slc44a2",0.00245607659783617,-1.50985980928664,0,1,1,"Slc44a2","LNG"
"Ube2c",0.00247587139100954,1.42138418641945,1,0,1,"Ube2c","LNG"
"Tob2",0.00301252244827825,-1.56586521978674,1,1,1,"Tob2","LNG"
"Zfp639",0.00321700813057679,-1.45589081552474,0,1,1,"Zfp639","LNG"
"Cd53",0.00326357311727242,-1.1922851054003,1,1,1,"Cd53","LNG"
"Gimap8",0.00357183269269988,-1.61373027896352,0.667,1,1,"Gimap8","LNG"
"Ahnak",0.00363893041016773,1.08788659036994,1,1,1,"Ahnak","LNG"
"Tomm34",0.00370870708290242,-1.44431443885167,0,1,1,"Tomm34","LNG"
"Gimap6",0.00378214505405575,-1.03212371066626,1,1,1,"Gimap6","LNG"
"Gzmb",0.00383634374114564,1.22481911353901,1,1,1,"Gzmb","LNG"
"Scn9a",0.00411242470636691,1.538789880069,1,0.333,1,"Scn9a","LNG"
"Plekhb1",0.00411242470636691,1.538789880069,1,0.333,1,"Plekhb1","LNG"
"Cd74",0.00416923006201451,1.46713105843009,1,1,1,"Cd74","LNG"
"Rpl27",0.00425571356767879,-0.345288097618586,1,1,1,"Rpl27","LNG"
"Ctsb",0.00468414807439784,1.34922095772763,1,1,1,"Ctsb","LNG"
"mt-Nd6",0.0047184007788559,-1.40767659356724,0,1,1,"mt-Nd6","LNG"
"Atf5",0.00472324257837941,1.30852655169385,1,1,1,"Atf5","LNG"
"Gm8369",0.00482622304072538,-1.71563533096052,0.333,1,1,"Gm8369","LNG"
"Trim56",0.00486829448353669,-1.41954950005365,0,1,1,"Trim56","LNG"
