"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Rps21",6.67501287823577e-09,-0.59102730771461,1,1,0.000167736398617187,"Rps21","OM"
"Klf4",4.22354683298659e-08,-1.6644764169335,1,1,0.0010613350836612,"Klf4","OM"
"Rps27",1.30787641313691e-07,-0.569015325470379,1,1,0.00328656263857173,"Rps27","OM"
"Rpl38",1.89631045194365e-07,-0.575514557608209,1,1,0.00476523853468919,"Rpl38","OM"
"Rpl39",5.13967792395738e-07,-0.622527947646403,1,1,0.0129154966551125,"Rpl39","OM"
"Rpl37a",2.58967026795822e-06,-0.440146581898551,1,1,0.065075824163522,"Rpl37a","OM"
"Rpl41",3.87508414360287e-06,-0.427171031462724,1,1,0.0973769894445966,"Rpl41","OM"
"Rps28",4.08982826147517e-06,-0.568142257580281,1,1,0.10277329438261,"Rps28","OM"
"Egr1",5.19843658742092e-06,-1.35825057012429,1,1,0.1306315130053,"Egr1","OM"
"Arhgap5",1.56101230101558e-05,-1.43477304472068,1,1,0.392266781122206,"Arhgap5","OM"
"Fos",1.63458291342161e-05,-0.713987427335691,1,1,0.410754340313717,"Fos","OM"
"Cxcr4",1.88726592905454e-05,-1.19144302037622,1,1,0.474251055312115,"Cxcr4","OM"
"Rpl37",3.18611199327309e-05,-0.415213305608448,1,1,0.800638082789596,"Rpl37","OM"
"Ifng",4.60450762936889e-05,1.50591436661045,1,1,1,"Ifng","OM"
"Cox7c",4.80563969967529e-05,-0.553530347593922,1,1,1,"Cox7c","OM"
"Il7r",5.93638142974928e-05,-0.580463392323945,1,1,1,"Il7r","OM"
"S100a5",7.52316069693956e-05,-1.17861138608561,1,1,1,"S100a5","OM"
"Sem1",7.54589098782637e-05,-0.607015236680318,1,1,1,"Sem1","OM"
"Rps29",0.000111202910626121,-0.344147893352747,1,1,1,"Rps29","OM"
"Stoml3",0.000118147013592802,-1.15372426260349,1,1,1,"Stoml3","OM"
"Gng13",0.000133255434182113,-1.1594994043545,1,1,1,"Gng13","OM"
"Tmem176b",0.000150370286446612,-0.78087068389687,1,1,1,"Tmem176b","OM"
"Ndufa4",0.000159323778896263,-0.5582210644634,1,1,1,"Ndufa4","OM"
"Rgcc",0.000182896295660279,-0.907353298101829,1,1,1,"Rgcc","OM"
"Il13",0.000235447227409678,-1.05902676654361,0,1,1,"Il13","OM"
"Rpl36",0.00026988084724871,-0.412385080504822,1,1,1,"Rpl36","OM"
"Ly6a",0.000300171150133935,1.11289299581531,1,1,1,"Ly6a","OM"
"Emb",0.000321303761113282,-0.50491233967518,1,1,1,"Emb","OM"
"Rpl34",0.00034076083146423,-0.335526697801102,1,1,1,"Rpl34","OM"
"Rpl36a",0.000367721132218734,-0.438179484852793,1,1,1,"Rpl36a","OM"
"Ahi1",0.000386595546752412,-1.12224029028828,1,1,1,"Ahi1","OM"
"Rora",0.000457180623962955,-1.02339526757141,1,1,1,"Rora","OM"
"Ddx5",0.000498224590091662,-0.380166085074087,1,1,1,"Ddx5","OM"
"Atp5md",0.000588643516678254,-0.672011070017758,1,1,1,"Atp5md","OM"
"Baz1a",0.000593430808994965,1.04358449404393,1,1,1,"Baz1a","OM"
"Omp",0.000628537128436631,-1.04535491671507,1,1,1,"Omp","OM"
"Arpc1b",0.000630531850342389,0.668453949412579,1,1,1,"Arpc1b","OM"
"Gnal",0.000639771200517293,-1.0688390469801,1,1,1,"Gnal","OM"
"Pycard",0.000654693153637094,0.931148708408484,1,1,1,"Pycard","OM"
"Rps15a",0.000658203477023461,-0.300593170313396,1,1,1,"Rps15a","OM"
"Dusp5",0.000691105875177787,-0.623485436604497,1,1,1,"Dusp5","OM"
"Trac",0.000709242654370376,0.680996420195635,1,1,1,"Trac","OM"
