"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Tmem176b",6.83071880525146e-111,-2.53228766494588,1,1,1.71649132857164e-106,"Tmem176b","RM"
"Btg2",2.95108324788807e-109,-1.27931527931542,1,1,7.41577709361792e-105,"Btg2","RM"
"Map1b",1.68085269250043e-94,-2.60684769097118,1,1,4.22381473098434e-90,"Map1b","RM"
"Ckb",4.15386789855345e-92,-2.57814083482038,1,1,1.0438254642275e-87,"Ckb","RM"
"Gng13",2.0374648619026e-91,-2.62440789171781,1,1,5.11994545147503e-87,"Gng13","RM"
"Omp",3.29415168550924e-91,-2.63116947978801,1,1,8.27787377051617e-87,"Omp","RM"
"Stoml3",4.77223728156584e-90,-2.61525141671492,1,1,1.19921550648468e-85,"Stoml3","RM"
"Atp1b1",4.33428666686799e-89,-2.39325510546684,1,1,1.08916289651726e-84,"Atp1b1","RM"
"Cd81",1.72236584708434e-87,-2.50369419163538,1,1,4.32813313713825e-83,"Cd81","RM"
"Dstn",1.35550784027529e-85,-2.25742713951256,1,1,3.40625565182778e-81,"Dstn","RM"
"App",9.11247324219142e-85,-2.54222070029717,1,1,2.28987340103028e-80,"App","RM"
"Gnal",1.08406493066421e-84,-2.6215202022082,1,1,2.72414676426608e-80,"Gnal","RM"
"S100a5",1.36720767715652e-82,-2.5430962349821,1,1,3.43565617192661e-78,"S100a5","RM"
"Tshz2",2.49671133000696e-82,-2.58956486376808,1,1,6.2739859011745e-78,"Tshz2","RM"
"Gm42418",1.09565557458481e-80,1.27993075352039,1,1,2.75327289337418e-76,"Gm42418","RM"
"Zfp36",2.21866061669016e-80,-1.85564360476133,1,1,5.57527226368069e-76,"Zfp36","RM"
"Mt1",1.52079903856105e-79,-2.30683825124335,1,1,3.82161590400007e-75,"Mt1","RM"
"Psap",1.25210467435981e-75,-2.17145890925857,1,1,3.14641383619878e-71,"Psap","RM"
"Atf5",1.19725690289591e-74,-2.58866998489968,1,1,3.00858687128713e-70,"Atf5","RM"
"Fstl5",3.25690920333483e-73,-2.59437209075361,1,1,8.18428713706008e-69,"Fstl5","RM"
"Lamp1",8.79651200604995e-71,-1.74710150347389,1,1,2.21047550200029e-66,"Lamp1","RM"
"Tmem59",1.30347697048759e-68,-1.53981587491773,1,1,3.27550727913825e-64,"Tmem59","RM"
"Chga",2.27708359848875e-68,-2.55776006831451,1,1,5.72208337464238e-64,"Chga","RM"
"Junb",2.712447726123e-68,-1.27425008773347,1,1,6.81610989097448e-64,"Junb","RM"
"Cd9",5.06965566320924e-68,-2.12963669812675,1,1,1.27395377160785e-63,"Cd9","RM"
"Ebf1",7.0670846031451e-68,-2.36372731590537,1,1,1.77588768992433e-63,"Ebf1","RM"
"Zfp36l1",2.11528917137285e-67,-1.67523994265388,1,1,5.31551015874283e-63,"Zfp36l1","RM"
"Ramp1",5.8904503849546e-67,-2.37880044855986,1,1,1.48021127723524e-62,"Ramp1","RM"
"Nsg1",1.27817967530058e-66,-2.49243460998679,1,1,3.21193770606284e-62,"Nsg1","RM"
"Gfy",7.59689284799215e-65,-2.47666846071121,1,1,1.90902320377195e-60,"Gfy","RM"
"H3f3a",4.83210448079959e-63,-0.731249588192511,1,1,1.21425953498013e-58,"H3f3a","RM"
"Selenop",8.25746051934321e-63,-1.95002448225357,1,1,2.07501725390575e-58,"Selenop","RM"
"Jun",5.03362757900867e-61,-2.744995347504,1,1,1.26490027432909e-56,"Jun","RM"
"Fau",5.92061105328165e-58,-0.332581001097412,1,1,1.48779035157915e-53,"Fau","RM"
"Rpl34",2.62937977183852e-57,-0.479965235483228,1,1,6.60736842865303e-53,"Rpl34","RM"
"Epcam",3.29163462803617e-57,-2.42599422609658,1,1,8.27154865679209e-53,"Epcam","RM"
"Ddx5",8.03810587913479e-57,-0.943545645602274,1,1,2.01989562636778e-52,"Ddx5","RM"
"Rpl30",5.24310684680569e-56,-0.627560099806504,1,1,1.3175403195338e-51,"Rpl30","RM"
"Il7r",8.94127608828986e-56,-1.17767287579429,1,1,2.24685326822636e-51,"Il7r","RM"
"Itm2b",9.10929092310534e-56,-1.15836574246532,1,1,2.28907371606714e-51,"Itm2b","RM"
"Atp1a1",1.02323611520319e-54,-1.58717828947203,1,1,2.5712900338941e-50,"Atp1a1","RM"
"Rpl21",3.13374604274861e-54,-0.493741495991531,1,1,7.87479043082299e-50,"Rpl21","RM"
"Dnaja1",8.64541781115083e-54,-0.817622838522686,1,1,2.17250704176409e-49,"Dnaja1","RM"
"Aplp2",1.24475277005964e-52,-1.57511066559066,1,1,3.12793923588286e-48,"Aplp2","RM"
"Rps21",3.15976644439992e-52,-0.757493606114736,1,1,7.94017709813256e-48,"Rps21","RM"
"Gpx4",3.1718334717193e-52,-1.03130130260362,1,1,7.97050033108344e-48,"Gpx4","RM"
"Fth1",6.25258967179076e-52,-0.758372563709084,1,1,1.5712132586243e-47,"Fth1","RM"
"Rps24",1.35841733866127e-50,-0.591456558478827,1,1,3.4135669303219e-46,"Rps24","RM"
"Tmem64",2.62996279634639e-50,-1.64192452161542,1,1,6.60883351093885e-46,"Tmem64","RM"
"Tmem176a",4.05712100350766e-50,-2.35384270804331,1,1,1.01951393697144e-45,"Tmem176a","RM"
"Rps27",4.68329478710658e-50,-0.665499197859012,1,1,1.17686514705201e-45,"Rps27","RM"
"Tsc22d1",9.51732677799878e-50,-2.13614177817277,1,1,2.39160904604331e-45,"Tsc22d1","RM"
"Hs3st1",2.63610062278382e-49,-1.79420002173418,1,1,6.62425725499347e-45,"Hs3st1","RM"
"Myo6",4.01333394576238e-49,-1.87663554325226,1,1,1.00851068723063e-44,"Myo6","RM"
"mt-Nd1",7.53372541256957e-49,-0.547736359956555,1,1,1.89314985892461e-44,"mt-Nd1","RM"
"Klf4",2.29878306999615e-48,-1.61891700493594,1,1,5.77661197659333e-44,"Klf4","RM"
"mt-Cytb",2.42969913769266e-48,-0.464673867900976,1,1,6.1055909631079e-44,"mt-Cytb","RM"
"Tcrg-C1",3.34836757256344e-48,-2.03188093253335,1,1,8.41411287309466e-44,"Tcrg-C1","RM"
"Rpl35a",8.92517391084593e-48,-0.532538491958261,1,1,2.24280695205647e-43,"Rpl35a","RM"
"Rpl39",5.68448990757307e-47,-0.740342791011285,1,1,1.42845546887404e-42,"Rpl39","RM"
"Atf3",2.38665478948641e-46,-1.68418002156304,1,1,5.99742482050039e-42,"Atf3","RM"
"Fosb",3.95232302191834e-46,-2.12941861736952,1,1,9.9317925217786e-42,"Fosb","RM"
"Cox6c",5.68946581198657e-44,-0.794834840619268,1,1,1.42970586389411e-39,"Cox6c","RM"
"Ly6c2",9.12845890181685e-44,3.62069072062844,1,1,2.29389043743756e-39,"Ly6c2","RM"
"Son",5.15679800176217e-43,-0.944883091370942,1,1,1.29585176986282e-38,"Son","RM"
"Pnrc1",9.31485111021471e-43,-0.830371510366012,1,1,2.34072893548585e-38,"Pnrc1","RM"
"Lmo4",1.84380148690832e-42,-1.96266929857028,1,1,4.63328875645192e-38,"Lmo4","RM"
"Egr1",3.18250520737374e-42,-2.18698153175071,1,1,7.99731733560947e-38,"Egr1","RM"
"Rps15a",3.44225748786404e-42,-0.56664045755241,1,1,8.65004884125356e-38,"Rps15a","RM"
"Olfm1",1.56312246649264e-41,-2.07928145032777,1,1,3.92797044604936e-37,"Olfm1","RM"
"Atxn7l3b",1.90750310541405e-41,-1.3219723969974,1,1,4.79336455359497e-37,"Atxn7l3b","RM"
"Sult1d1",2.64706522746871e-41,-2.10307778901693,1,1,6.65181021010611e-37,"Sult1d1","RM"
"Rps14",3.17023474246805e-41,-0.461894803671674,1,1,7.96648288434796e-37,"Rps14","RM"
"Ldhb",2.50039847969503e-40,-1.99494068718951,1,1,6.28325133962564e-36,"Ldhb","RM"
"Cst3",3.98665113737062e-40,-1.57049740597622,1,1,1.00180556430986e-35,"Cst3","RM"
"Rps8",7.37450848279718e-40,-0.35450300736188,1,1,1.8531402366421e-35,"Rps8","RM"
"Hsp90b1",9.39451298649741e-40,-0.860343818189013,1,1,2.36074716837693e-35,"Hsp90b1","RM"
"Rplp1",1.03522282920166e-39,-0.629553521301524,1,1,2.60141144750084e-35,"Rplp1","RM"
"Kif5b",4.83529016671902e-39,-1.20233152124187,1,1,1.21506006599482e-34,"Kif5b","RM"
"Atp5md",5.4234644760844e-39,-1.05694231064756,1,1,1.36286238819525e-34,"Atp5md","RM"
"Igfbp7",1.06617613896334e-38,-1.67169847760144,1,1,2.67919401960098e-34,"Igfbp7","RM"
"Stom",1.54551869395051e-38,-2.01585054504515,1,1,3.88373392602823e-34,"Stom","RM"
"Pfdn5",2.39336811202579e-36,-0.6355875422008,1,1,6.0142947287096e-32,"Pfdn5","RM"
"Rpl23",3.33880267324805e-36,-0.57598629617278,1,1,8.39007723760502e-32,"Rpl23","RM"
"Eif1",8.53624571354621e-36,-0.650125636840026,1,1,2.14507318535703e-31,"Eif1","RM"
"Eef1a1",1.23092635706029e-35,-0.444804377363514,1,1,3.09319484265681e-31,"Eef1a1","RM"
"Rpl36a",1.60279292747376e-35,-0.746293153369236,1,1,4.0276583474488e-31,"Rpl36a","RM"
"Fos",9.09292358985859e-35,-2.92397875458354,1,1,2.28496076889557e-30,"Fos","RM"
"Cystm1",2.29806818800626e-34,-1.92722046232688,1,1,5.77481554964092e-30,"Cystm1","RM"
"Nr4a1",3.70783866573735e-34,-1.41395425931236,1,1,9.31742778313138e-30,"Nr4a1","RM"
"Ppp1r15a",6.76314303304867e-34,-1.13804933655777,1,1,1.6995102127748e-29,"Ppp1r15a","RM"
"Tuba1a",2.08246664356824e-33,-2.06549460187159,1,1,5.23303042862264e-29,"Tuba1a","RM"
"Dad1",3.48249179930154e-33,-0.92241299388845,1,1,8.75115364246484e-29,"Dad1","RM"
