"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140241","translation at synapse",48,-0.848288319763194,-2.60173800585743,1e-10,5.643e-08,4.58105263157895e-08,2032,"tags=90%, list=14%, signal=77%","13629/19988/66480/67891/19943/19989/66489/19896/270106/20103/67097/19944/20005/67671/19951/19942/67115/27207/319195/100503670/78294/20042/26451/27370/67281/110954/20055/19941/54127/269261/20044/67186/68436/268449/54217/57808/19934/267019/65019/20088/57294/19981/19982"
"GO:0140242","translation at postsynapse",48,-0.848288319763194,-2.60173800585743,1e-10,5.643e-08,4.58105263157895e-08,2032,"tags=90%, list=14%, signal=77%","13629/19988/66480/67891/19943/19989/66489/19896/270106/20103/67097/19944/20005/67671/19951/19942/67115/27207/319195/100503670/78294/20042/26451/27370/67281/110954/20055/19941/54127/269261/20044/67186/68436/268449/54217/57808/19934/267019/65019/20088/57294/19981/19982"
"GO:0140236","translation at presynapse",47,-0.851007095442359,-2.5998099452631,1e-10,5.643e-08,4.58105263157895e-08,1991,"tags=89%, list=14%, signal=77%","19988/66480/67891/19943/19989/66489/19896/270106/20103/67097/19944/20005/67671/19951/19942/67115/27207/319195/100503670/78294/20042/26451/27370/67281/110954/20055/19941/54127/269261/20044/67186/68436/268449/54217/57808/19934/267019/65019/20088/57294/19981/19982"
"GO:0051607","defense response to virus",264,0.646946530838554,2.01150809208161,1e-10,5.643e-08,4.58105263157895e-08,2323,"tags=44%, list=16%, signal=38%","15978/68713/100038882/15957/58203/15959/14469/20304/229900/545384/18646/12525/54123/69550/102639543/20846/57444/16145/236312/67775/229898/667373/15945/20737/20128/15958/19260/66824/100033459/58185/319236/24110/276950/16362/56045/71586/623121/100040462/80285/17472/19106/15950/209200/19264/217069/246727/17101/434341/667370/11793/383619/20821/23962/56200/56532/28185/54396/433702/76681/94094/109075/67005/18854/67070/17454/667823/384309/234311/338467/22031/56417/215243/22670/20371/66700/209387/215210/56480/16411/214763/12909/80861/17973/16176/74747/17874/15944/12034/12524/98999/70450/14063/20847/170742/54131/15975/13204/231655/78781/69192/12261/66874/74414/22034/93765/434219/246730/16363/13211/80287/21849/66854/224647/70428/108888/67526"
"GO:0009615","response to virus",330,0.615547027418452,1.92342959573825,1e-10,5.643e-08,4.58105263157895e-08,2179,"tags=40%, list=15%, signal=34%","15978/68713/76933/16765/100038882/15957/58203/15959/14469/20304/229900/545384/18646/12525/54123/69550/102639543/20846/57444/16145/236312/67775/229898/667373/15945/20737/20128/15958/19260/66824/100033459/58185/319236/15251/24110/276950/16362/56045/71586/623121/100040462/64685/80285/17472/19106/15950/209200/19264/217069/246727/17101/434341/667370/18619/11793/383619/72462/20821/23962/56200/56532/16172/28185/54396/433702/76681/12571/94094/12051/98053/109075/67005/18854/56048/67070/67963/17454/667823/384309/234311/19777/338467/57765/22031/56417/215243/22670/20371/66700/209387/215210/56480/16411/214763/12909/80861/17973/16176/74747/17874/15944/12034/12524/18715/98999/70450/18987/12465/14063/16859/20847/170742/54131/15975/13204/231655/78781/69192/12261/66874/74414/22034/93765/434219/246730/16363/13211/80287/12028/21849/66854"
"GO:0000070","mitotic sister chromatid segregation",182,0.619385195296001,1.87792410119618,1e-10,5.643e-08,4.58105263157895e-08,2780,"tags=52%, list=19%, signal=42%","11799/68612/233406/108907/52276/26934/229841/67629/12534/16551/76464/14211/75608/16319/209737/72119/75430/107995/68298/268697/67141/54392/110033/18140/67052/66442/19384/60411/18817/12236/192176/16571/70099/12704/76044/103733/20877/93759/215387/66591/67177/67070/71819/16563/74187/51944/66468/66700/56150/193385/19357/53869/78658/70799/24061/74201/12235/11920/59014/70385/66165/22385/100088/66977/109359/69716/76789/30949/208718/12237/67849/52563/52683/17865/69957/225898/235661/234852/52696/26951/73804/228421/67139/18226/22680/18005/54141/16211/381293/68501/100502766/81601/51792/13494"
"GO:0000819","sister chromatid segregation",218,0.606312815576528,1.85900078131867,1e-10,5.643e-08,4.58105263157895e-08,2780,"tags=48%, list=19%, signal=39%","21973/11799/68612/233406/108907/52276/26934/229841/67629/12534/16551/76464/14211/75608/16319/209737/231600/72119/75430/21335/107995/68298/268697/67141/54392/110033/18140/67052/66442/19384/60411/18817/12236/192176/11461/16571/70099/12704/76044/103733/20877/93759/215387/66591/67177/67070/71819/16563/74187/51944/66468/83796/66700/56150/193385/19357/53869/23834/78658/70799/24061/74201/12235/11920/59014/70385/66165/22385/100088/66977/109359/56456/69716/76789/30949/208718/26992/12237/17222/67849/52563/52683/17865/69957/225898/235661/234852/52696/26951/73804/228421/67139/18226/72057/22680/18005/54141/223970/16211/381293/68501/100502766/81601/51792/13494"
"GO:0098813","nuclear chromosome segregation",286,0.589729787527678,1.83655282937338,1e-10,5.643e-08,4.58105263157895e-08,2780,"tags=43%, list=19%, signal=36%","21973/11799/68612/233406/108907/108000/12442/52276/26934/229841/67629/12534/16551/76464/14211/75608/16319/209737/231600/72119/75430/21335/107995/68298/268697/67141/54392/110033/18140/67052/66442/12447/19384/60411/209011/18817/12236/67037/192176/11461/16571/70099/12704/76044/103733/20877/93759/215387/71846/66591/19183/67177/223499/67070/71819/16563/74187/51944/66468/72415/83796/12316/66700/56150/193385/19357/13194/66713/53869/237911/23834/78658/70799/24061/68767/74201/12235/11920/59014/70385/66165/22385/100088/66977/109359/30939/56456/110147/69716/76789/30949/20878/208718/26992/12237/17222/67849/52563/52683/17865/69957/12190/225898/235661/234852/52696/26951/73804/228421/74117/67139/18226/72057/22680/18005/54141/223970/16211/381293/68501/100502766/81601/51792/13494"
"GO:0007059","chromosome segregation",386,0.567274866270122,1.78631109831332,1e-10,5.643e-08,4.58105263157895e-08,2793,"tags=42%, list=19%, signal=35%","21973/17345/11799/68612/233406/108907/108000/12442/52276/26934/229841/67629/12534/16551/76464/14211/75608/16319/209737/231600/72119/75430/71988/21335/107995/66311/68298/268697/67141/54392/110033/18140/67052/66442/12447/19384/60411/209011/56419/67203/18817/12236/67037/192176/11461/16571/70099/12704/76044/103733/20877/22196/93759/219072/68549/218977/215387/71846/66591/19183/26886/67177/223499/67070/71819/20815/16563/74187/51944/66468/72415/83796/12316/66700/22154/56150/69736/193385/19357/13194/66570/69928/66713/53869/70454/237911/23834/69912/78658/68250/70799/24061/68767/74201/12189/12235/13000/11920/59014/70385/66165/22385/100088/68523/225745/66977/109359/30939/56456/74237/66336/110147/239122/69716/76789/30949/20878/208718/26992/104318/12237/17222/67849/52563/52683/17865/69957/12190/225898/235661/234852/52696/26951/73804/15183/51885/66578/66385/381280/228421/74117/108912/67139/212307/18226/72057/22680/18005/54141/223970/21976/13990/16211/381293/68501/100502766/71978/67241/81601/51792/13494/52432"
"GO:0051276","chromosome organization",486,0.524806752054404,1.6661383725264,1e-10,5.643e-08,4.58105263157895e-08,2780,"tags=38%, list=19%, signal=32%","21973/11799/68612/233406/108907/52276/26934/19891/229841/67629/12534/16551/76464/14211/75608/20684/18538/16319/97165/14156/209737/231600/50927/72119/75430/71988/21335/107995/52530/66311/56207/68298/268697/67141/12615/54392/110033/18140/67052/66442/12447/19384/60411/209011/21454/18817/12236/192176/11461/16571/70099/18761/12704/74355/76044/15354/103733/20877/93759/20937/68549/235559/18854/218977/19361/215387/71846/66591/218973/19183/26886/67177/77805/67070/66679/68275/71819/233875/16563/74187/51944/66468/73139/72415/83796/11792/66700/56150/193385/50754/225280/19357/11991/53869/237911/24127/23834/59047/78658/70799/12034/24061/70020/74201/12235/11920/59014/70385/66165/22385/100088/66977/12465/109359/30939/19704/245000/56456/12469/66336/103468/110147/69716/12461/76789/30949/74493/208718/26992/12237/17222/12462/51812/67849/68147/19045/52563/105083/52683/17865/69957/12190/12468/170762/50505/225898/235661/234852/210711/101185/23825/219150/52696/26951/12144/73804/26413/66578/381280/19364/228421/233789/67139/19366/227195/18226/16825/72057/22632/22680/18005/245474/54141/13368/223970/21976/16211/26931/12464/381293/68501/100502766/70315/67241/81601/51792/13494"
