"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",196,0.714250144551387,2.18614519568477,1e-10,1e-09,4.63157894736842e-10,2598,"tags=67%, list=18%, signal=56%","21973/16765/17345/11799/16906/66197/12442/54124/17217/20135/52276/26934/19891/17218/14056/229841/17220/67629/12534/17219/17215/13433/14793/15374/18538/21877/15201/66929/15366/16881/97165/50927/17089/69639/17216/21335/107995/19385/70472/66422/56452/68298/110074/17768/110033/72391/233726/66442/12447/19384/12531/18102/13665/19362/20492/56419/18817/218210/12236/16571/70099/12704/15354/103733/20877/66979/20873/20937/218977/67134/68219/19183/110052/66622/21917/66131/22042/69263/68275/53381/98386/22154/56150/66403/18969/76131/19357/18393/66570/103573/11991/13626/109145/24061/12189/16647/68479/19355/30939/103468/17121/18813/69716/67196/66471/108961/20878/18971/17865/12190/17279/20833/110809/22390/12649/13178/26951/78304/73804/18972/230484/19718/18861/18973/70769/22256/212377/58184/106795/12530/54141/12567"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",92,0.747326373719052,2.14210845002364,1e-10,1e-09,4.63157894736842e-10,1958,"tags=65%, list=14%, signal=57%","68713/100038882/15959/14469/108670/54123/69550/20343/16912/57444/15018/55932/16391/67775/547253/21354/15945/15958/16913/58185/319236/24110/19188/16362/70110/71586/64685/80285/19106/19186/67138/12799/12370/229003/109032/217069/231712/15007/20821/72075/22169/17454/667823/19039/234311/56417/73711/22670/80861/268749/12010/212943/53312/20847/66988/16190/231655/71701/52668/16423"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",185,0.67915628188161,2.07571919243365,1e-10,1e-09,4.63157894736842e-10,1902,"tags=50%, list=13%, signal=44%","14938/100038882/58203/15959/12367/108670/20304/54123/69550/16912/15900/20846/57444/15018/55932/27007/16391/67775/547253/110168/21354/667373/15945/327959/15958/16913/58185/75345/67245/19171/15251/24110/19188/16362/56045/70110/71586/64685/17472/15894/19106/19186/67138/19766/20849/12370/672511/229003/236573/109032/16185/217069/12363/246727/17768/20848/19246/21356/434341/231712/15007/20821/60533/72075/71371/18854/22169/19039/234311/56417/22670/14991/80861/268749/26445/17874/16364/12524/78388/16452/98999/12010/16421/18578/59027/20847/66988/16190/231655/12702/22035/71701/52668"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,0.637610936764274,1.9484350103875,1e-10,1e-09,4.63157894736842e-10,2329,"tags=53%, list=16%, signal=45%","21973/16765/17345/11799/68612/16906/66197/233406/108907/108000/15331/12442/54124/26934/19891/17218/14056/229841/12534/17219/12428/16551/17215/76464/14211/15374/15251/16319/107823/15366/209737/26885/50927/27214/72119/17216/21335/107995/56452/67141/12615/20641/110033/21915/72391/19650/67052/12531/18817/16571/240641/70099/12544/15354/21781/20877/20873/12051/20937/18854/13555/242705/20539/21917/27374/71819/14030/98386/56150/18969/19357/272551/103573/13557/11991/18141/23834/24061/12235/16647/30939/19704/23924/80914/12449/27221/20878/12237/13486/268996/12545/17865/12190/110809/234852/12649/73804/104394/14105/18973/70769/52033"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",176,0.630277117219541,1.91923226044378,1e-10,1e-09,4.63157894736842e-10,2038,"tags=43%, list=14%, signal=37%","14938/15978/14939/12774/12481/12526/20303/14469/20304/18646/12525/54123/15900/20846/15018/16153/12500/12487/21354/17972/12766/16643/16818/19171/15251/15894/15040/20849/19264/16185/21355/21356/15007/16174/18102/15163/13040/12501/192176/18751/12051/16414/17076/22637/22376/56501/14991/14103/26411/17973/16176/54698/16364/21838/12524/16170/12189/16452/16994/12010/78655/22030/23871/12503/16190/12042/170823/16150/12445/11651/16408/16423/93765/12479/13244"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",184,-0.52330171553159,-2.00362468718694,4.78155271420653e-09,3.98462726183878e-08,1.84551157390427e-08,739,"tags=32%, list=5%, signal=30%","67972/12443/16449/16601/384783/23849/321019/12044/18626/104681/240672/12226/15937/16007/13654/18035/12522/21929/18227/11852/21664/17691/21926/20918/18024/20971/17133/12575/14284/13655/17873/108767/16878/18124/11839/15936/99929/17872/12608/16197/19225/15200/15980/20310/12981/16477/12227/15370/15205/16600/11910/22695/19252/14282/21807/13653/16476/14281"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",168,-0.50706930735537,-1.9478045577113,1.62510755572211e-07,1.16079111123008e-06,5.37629567306561e-07,673,"tags=21%, list=5%, signal=21%","384783/23849/21366/17750/56484/12177/12226/15937/14815/14828/16007/15211/21929/14538/12043/54683/20971/11674/17133/12575/14284/21985/108767/20439/83397/110611/99929/17872/19883/11910/15476/22695/19252/17748/16476/14281"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",194,0.565886891151169,1.73178729865225,6.0358705200071e-07,3.77241907500444e-06,1.74722567684416e-06,2764,"tags=51%, list=19%, signal=42%","17217/17218/17220/17219/22171/12428/18538/17216/107995/19385/52530/68981/108121/110074/59029/20641/16828/106344/19384/18102/13665/20133/56200/21454/28185/13877/433702/12544/21781/22384/18655/26441/67134/26443/108062/110052/23996/233870/15510/225363/20815/53381/22195/15382/11792/14113/56150/20639/18393/103573/26445/11991/27366/27979/12034/53607/28126/66235/16647/12465/78655/78523/70247/20810/18813/12461/66409/66446/13204/57296/12237/12462/12261/26754/26440/27756/67465/22327/12468/110809/17463/18972/67089/21849/230484/22123/70769/14719/11431/13684/12567/16211/59001/12464/68988/27966/68092/103136/14208"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",189,-0.461903500745702,-1.79152426902989,1.94029222518458e-06,1.07794012510255e-05,4.99256478994863e-06,1186,"tags=23%, list=8%, signal=21%","14694/68755/53421/65972/19730/14667/75234/12156/15254/15468/56338/19645/20042/20969/21452/56484/17122/12226/12795/16667/15937/14062/54217/66383/140742/12575/18415/235320/16878/55948/17872/15200/12227/16600/12192/11910/16832/13830/21807/12520/11820/16476/14281"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",195,0.541529152469689,1.65774592949383,6.06673087960005e-06,3.03336543980003e-05,1.40492715106527e-05,2143,"tags=35%, list=15%, signal=31%","21973/11799/16906/233406/108907/108000/12442/26934/229841/12534/16551/12125/16319/209737/72119/12345/17886/67141/110033/67052/18817/18080/381921/192176/17925/192662/16571/240641/70099/23912/22350/30948/218397/218977/75547/54126/71819/66615/74187/16800/56349/56705/26920/17973/101497/70799/277360/24061/12235/211673/114713/237860/75786/23924/20740/74237/269587/16328/18541/94176/20878/104318/71704/68041/13822/12190/19303/74360/73804"
