"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chga",1.54226298499643e-88,2.91904280954633,1,0.309,3.87555265499752e-84,"0","Chga"
"Omp",2.43230804170991e-88,3.1302958773677,1,0.365,6.11214687801284e-84,"0","Omp"
"Jakmip1",3.66358024416461e-88,3.22429741716966,0.955,0.127,9.20621079556125e-84,"0","Jakmip1"
"Gnal",5.1676147176178e-88,3.03876604244487,1,0.343,1.29856990239018e-83,"0","Gnal"
"Olfm1",1.17615852948241e-87,3.03337005603157,0.996,0.277,2.95556876873635e-83,"0","Olfm1"
"Clgn",1.51434618640438e-87,3.03394655416868,0.974,0.134,3.80540053181557e-83,"0","Clgn"
"Stoml3",1.97191875088976e-86,3.14784509348221,1,0.381,4.95523462911087e-82,"0","Stoml3"
"Calm1",2.08175357741031e-86,2.72086732425567,1,0.959,5.23123856467436e-82,"0","Calm1"
"Syt1",2.4654320194003e-86,3.10421865829861,0.958,0.131,6.195384121551e-82,"0","Syt1"
"Nsg1",3.32199339010084e-86,2.9209844388462,0.999,0.32,8.34783718998441e-82,"0","Nsg1"
"Dcdc2a",7.64797429979597e-86,3.34335039995253,0.961,0.143,1.92185946179573e-81,"0","Dcdc2a"
"Gfy",1.13466814353715e-85,2.8613220522864,0.999,0.307,2.8513075778945e-81,"0","Gfy"
"Gng13",1.96410680614395e-85,3.11965901934886,1,0.402,4.93560399315913e-81,"0","Gng13"
"1700012B09Rik",2.44020109334902e-85,3.26852738921819,0.98,0.142,6.13198132747676e-81,"0","1700012B09Rik"
"Aplp1",2.97483951860639e-85,2.88650653657074,0.991,0.195,7.475474226306e-81,"0","Aplp1"
"Scn9a",4.3332500930613e-85,2.84745665437212,0.984,0.186,1.08890241588538e-80,"0","Scn9a"
"Stom",5.94317836046754e-85,2.84116068593775,0.996,0.252,1.49346129020189e-80,"0","Stom"
"Calm2",8.44822680638136e-85,2.21387141554085,1,0.888,2.12295491417557e-80,"0","Calm2"
"Plekhb1",8.95948622020701e-85,3.04211296124541,0.988,0.172,2.25142929227582e-80,"0","Plekhb1"
"Prxl2b",1.39277844805818e-84,2.96741547090595,0.992,0.267,3.4999129621254e-80,"0","Prxl2b"
"Gnb1",1.54461146597458e-84,2.41527285129302,1,0.672,3.88145415284751e-80,"0","Gnb1"
"Ric8b",1.89232552621985e-84,3.07439238481664,0.953,0.126,4.75522481483786e-80,"0","Ric8b"
"Fstl5",5.44151105902452e-84,2.66824121916762,1,0.341,1.36739731402227e-79,"0","Fstl5"
"Atf5",7.56519927259928e-84,2.70758506692455,0.999,0.355,1.90105892521147e-79,"0","Atf5"
"Cntn4",3.71424041420494e-83,2.88135480838435,0.952,0.133,9.3335147368556e-79,"0","Cntn4"
"Ctxn3",5.16194931219355e-83,3.30075014568708,0.961,0.117,1.29714624266112e-78,"0","Ctxn3"
"Ttll7",4.01361069821758e-82,2.73432478147478,0.992,0.257,1.0085802323551e-77,"0","Ttll7"
"Cnga2",1.26305987724622e-80,3.13674005902265,0.929,0.112,3.17394316553203e-76,"0","Cnga2"
"Acbd7",1.50962875087268e-80,3.29738002673365,0.948,0.119,3.79354608806796e-76,"0","Acbd7"
"Adcy3",4.36917983276887e-80,3.03964895089152,0.956,0.12,1.09793120017649e-75,"0","Adcy3"
"Sult1d1",4.80311444246838e-80,2.86885607550304,0.989,0.284,1.20697462824788e-75,"0","Sult1d1"
"Pcolce2",5.86649089502816e-80,3.07985996366716,0.94,0.132,1.47419049701163e-75,"0","Pcolce2"
"Tshz2",1.65834638765063e-79,2.42612609756876,0.997,0.499,4.16725863752726e-75,"0","Tshz2"
"Ckb",5.34458504606071e-79,2.64251117122864,0.999,0.517,1.3430407762246e-74,"0","Ckb"
"Tmem74bos",2.62648218565878e-78,3.24980570830717,0.927,0.11,6.60008708434195e-74,"0","Tmem74bos"
"Umodl1",2.64703232829859e-78,2.96875628303907,0.952,0.114,6.65172753778152e-74,"0","Umodl1"
"Flrt1",9.84031046255223e-78,2.75662006975266,0.962,0.154,2.47277161613475e-73,"0","Flrt1"
"Tom1",2.44621571337584e-77,3.22283380630652,0.922,0.133,6.14709546614215e-73,"0","Tom1"
"Tspyl4",4.61652246408101e-77,2.95566127589015,0.917,0.144,1.16008592999892e-72,"0","Tspyl4"
"Nrn1l",4.94325705277666e-76,3.4151590805472,0.942,0.106,1.24219106479225e-71,"0","Nrn1l"
"Pde6d",1.07060434396714e-75,2.86084835670265,0.918,0.179,2.69032165595503e-71,"0","Pde6d"
"Spef2",1.5432001734606e-75,3.10021628143817,0.941,0.123,3.87790771588915e-71,"0","Spef2"
"Serpine2",3.58400671317324e-75,2.60674634646746,0.986,0.267,9.00625046953304e-71,"0","Serpine2"
"Ncam1",1.16144900774765e-73,2.27068360858556,0.989,0.286,2.91860521156906e-69,"0","Ncam1"
